OID_,latitude,longitude,activitystartdate,resultmeasurevalue_mg_l,chlor_a,nflh,poc,sst,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678
1,29.4898,-86.5026,5/3/2010 0:00,4.997,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
2,29.4898,-86.5026,5/3/2010 0:00,5.003,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
3,29.4898,-86.5026,5/3/2010 0:00,5.005,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
4,29.4898,-86.5026,5/3/2010 0:00,5.009,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
5,29.4898,-86.5026,5/3/2010 0:00,5.018,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
6,29.4898,-86.5026,5/3/2010 0:00,5.026,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
7,29.4898,-86.5026,5/3/2010 0:00,5.031,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
8,29.4898,-86.5026,5/3/2010 0:00,5.035,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
9,29.4898,-86.5026,5/3/2010 0:00,5.039,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
10,29.4898,-86.5026,5/3/2010 0:00,5.042,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
11,29.4898,-86.5026,5/3/2010 0:00,5.046,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
12,29.4898,-86.5026,5/3/2010 0:00,5.051,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
13,29.4898,-86.5026,5/3/2010 0:00,5.057,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
14,29.4898,-86.5026,5/3/2010 0:00,5.06,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
15,29.4898,-86.5026,5/3/2010 0:00,5.061,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
16,29.4898,-86.5026,5/3/2010 0:00,5.076,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
17,29.4898,-86.5026,5/3/2010 0:00,5.102,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
18,29.4898,-86.5026,5/3/2010 0:00,5.109,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
19,29.4898,-86.5026,5/3/2010 0:00,5.111,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
20,29.4898,-86.5026,5/3/2010 0:00,5.118,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
21,29.4898,-86.5026,5/3/2010 0:00,5.142,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
22,29.4898,-86.5026,5/3/2010 0:00,5.172,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
23,29.4898,-86.5026,5/3/2010 0:00,5.224,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
24,29.4898,-86.5026,5/3/2010 0:00,5.253,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
25,29.4898,-86.5026,5/3/2010 0:00,5.247,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
