OID_,latitude,longitude,activitystartdate,resultmeasurevalue_mg_l,b1_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b2_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b3_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b4_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b5_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b6_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b7_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b8_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b9_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b10_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b11_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b12_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b13_OCEANDATA_MODIS_Aqua_L3SMI2013_06,b14_OCEANDATA_MODIS_Aqua_L3SMI2013_06
1,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,7.110000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
2,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,7.070000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
3,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.720000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
4,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.670000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
5,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.220000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
6,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.070000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
7,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.010000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
8,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.020000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
9,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,5.970000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
10,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,5.950000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
11,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.080000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
12,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.050000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
13,30.171800000000001,-88.049000000000007,6/4/2013 0:00:00,6.000000000000000,6.3341556,0.2474283,412.5000000,28.5453110,0.0038620,0.0048560,0.0057390,0.0064150,0.0088630,0.0093745,0.0091480,0.0042150,0.0035865,0.0034570
14,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,7.230000000000000,,,,29.2916660,,,,,,,,,,
15,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,7.120000000000000,,,,29.2916660,,,,,,,,,,
16,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,6.910000000000000,,,,29.2916660,,,,,,,,,,
17,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,6.600000000000000,,,,29.2916660,,,,,,,,,,
18,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,3.410000000000000,,,,29.2916660,,,,,,,,,,
19,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,1.290000000000000,,,,29.2916660,,,,,,,,,,
20,30.284099999999999,-87.851399999999998,6/5/2013 0:00:00,1.470000000000000,,,,29.2916660,,,,,,,,,,
21,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,8.340000000000000,,,,30.3699989,,,,,,,,,,
22,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,8.119999999999999,,,,30.3699989,,,,,,,,,,
23,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,7.920000000000000,,,,30.3699989,,,,,,,,,,
24,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,6.990000000000000,,,,30.3699989,,,,,,,,,,
25,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,6.460000000000000,,,,30.3699989,,,,,,,,,,
26,30.379600000000000,-87.833900000000000,6/19/2013 0:00:00,6.130000000000000,,,,30.3699989,,,,,,,,,,
27,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,8.520000000000000,,,,29.7759991,,,,,,,,,,
28,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,8.449999999999999,,,,29.7759991,,,,,,,,,,
29,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,8.400000000000000,,,,29.7759991,,,,,,,,,,
30,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,7.500000000000000,,,,29.7759991,,,,,,,,,,
31,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,5.410000000000000,,,,29.7759991,,,,,,,,,,
32,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,5.370000000000000,,,,29.7759991,,,,,,,,,,
33,30.321200000000001,-87.589600000000004,6/20/2013 0:00:00,3.190000000000000,,,,29.7759991,,,,,,,,,,
34,30.697800000000001,-87.920599999999993,6/26/2013 0:00:00,8.199999999999999,,,,29.1421413,,,,,,,,,,
35,30.697800000000001,-87.920599999999993,6/26/2013 0:00:00,7.530000000000000,,,,29.1421413,,,,,,,,,,
36,30.697800000000001,-87.920599999999993,6/26/2013 0:00:00,7.250000000000000,,,,29.1421413,,,,,,,,,,
37,30.697800000000001,-87.920599999999993,6/26/2013 0:00:00,7.150000000000000,,,,29.1421413,,,,,,,,,,
38,30.697800000000001,-87.920599999999993,6/26/2013 0:00:00,7.160000000000000,,,,29.1421413,,,,,,,,,,
39,30.627600000000001,-87.954800000000006,6/27/2013 0:00:00,7.790000000000000,,,,29.3304539,,,,,,,,,,
40,30.627600000000001,-87.954800000000006,6/27/2013 0:00:00,7.830000000000000,,,,29.3304539,,,,,,,,,,
41,30.627600000000001,-87.954800000000006,6/27/2013 0:00:00,7.770000000000000,,,,29.3304539,,,,,,,,,,
42,30.627600000000001,-87.954800000000006,6/27/2013 0:00:00,7.710000000000000,,,,29.3304539,,,,,,,,,,
43,30.645299999999999,-87.917900000000003,6/24/2013 0:00:00,6.690000000000000,,,,,,,,,,,,,,
44,30.645299999999999,-87.917900000000003,6/24/2013 0:00:00,6.630000000000000,,,,,,,,,,,,,,
45,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,7.460000000000000,,,,29.4545441,,,,,,,,,,
46,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,7.360000000000000,,,,29.4545441,,,,,,,,,,
47,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,7.340000000000000,,,,29.4545441,,,,,,,,,,
48,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,7.290000000000000,,,,29.4545441,,,,,,,,,,
49,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,6.860000000000000,,,,29.4545441,,,,,,,,,,
50,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,5.930000000000000,,,,29.4545441,,,,,,,,,,
51,30.273099999999999,-88.173199999999994,6/6/2013 0:00:00,4.730000000000000,,,,29.4545441,,,,,,,,,,
52,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,7.930000000000000,,,,29.3634987,,,,,,,,,,
53,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,7.580000000000000,,,,29.3634987,,,,,,,,,,
54,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,6.910000000000000,,,,29.3634987,,,,,,,,,,
55,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,6.370000000000000,,,,29.3634987,,,,,,,,,,
56,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,6.330000000000000,,,,29.3634987,,,,,,,,,,
57,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,5.660000000000000,,,,29.3634987,,,,,,,,,,
58,30.629700000000000,-88.032600000000002,6/12/2013 0:00:00,4.730000000000000,,,,29.3634987,,,,,,,,,,
